year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,18931897.000000,0.025061,233512.500000,499.500000,0.000000,0.001962,0.001212,0.000000,0.000000,0.000000,4,0.994169,1.000000,0.000157,0.000155,0.998310,0.997550,0.704080,0.701150,0.000000,0.000000
-4990,20389071.000000,0.028398,238504.500000,499.500000,0.000000,0.005662,0.002828,0.000000,0.000000,0.000000,20,0.926584,0.680031,0.000085,0.000107,0.992870,0.995200,0.729323,0.652050,0.000000,0.000000
-4980,21839575.000000,0.028763,225118.500000,499.500000,0.000000,0.006282,0.002626,0.000000,0.000000,0.000000,20,0.936750,0.731769,0.000077,0.000110,0.970070,0.990800,0.716980,0.552550,0.000000,0.018978
-4970,23045039.000000,0.028850,208891.500000,459.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22,0.938569,0.774956,0.000085,0.000140,0.926418,0.868670,0.679616,0.404950,0.001923,0.002409
-4960,24067786.000000,0.028907,215403.500000,459.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33,0.960082,0.836144,0.000084,0.000164,0.877748,0.447200,0.656904,0.273340,0.006883,0.014496
-4950,24977011.000000,0.028949,206518.500000,416.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40,0.965976,0.866497,0.000098,0.000185,0.811931,0.306080,0.623269,0.100710,0.025346,0.029790
-4940,25804443.000000,0.028881,209896.000000,378.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53,0.968125,0.853559,0.000088,0.000164,0.743452,0.011940,0.577851,0.012700,0.036269,0.041540
-4930,26570588.000000,0.028785,212717.500000,378.500000,0.000000,0.005880,0.001954,0.000000,0.000000,0.000000,53,0.967029,0.860527,0.000107,0.000191,0.693098,0.006490,0.528049,0.010880,0.060311,0.068910
-4920,27296688.000000,0.028654,213030.000000,378.500000,0.000000,0.004451,0.002379,0.000000,0.000000,0.000000,53,0.967438,0.864727,0.000104,0.000186,0.650235,0.006030,0.502473,0.010510,0.069328,0.095063
-4910,27959057.000000,0.028401,210145.000000,372.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54,0.964833,0.849858,0.000121,0.000198,0.595754,0.006080,0.473010,0.010520,0.085644,0.115270
-4900,28599182.000000,0.028469,184578.000000,372.000000,0.000000,0.004190,0.002585,0.000000,0.000000,0.000000,54,0.967260,0.862172,0.000124,0.000218,0.570037,0.006000,0.446300,0.010100,0.110394,0.115273
