year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-5000,13980314,13980314,257705.21595050485,178094.65773500007,38983
-4990,15129441,15129441,197025.54064855364,1654576.644667,39133
-4980,16244715,16244715,213584.00108151374,3285504.8510629996,39213
-4970,17154857,17154857,224197.66069461306,5017585.6425950006,39225
-4960,17934864,17934864,229440.29763229282,6806783.0227150014,39225
-4950,18627270,18627270,238206.05152727311,8600376.0256159957,39239
-4940,19251221,19251221,239368.72344878415,10386683.307001002,39261
-4930,19819545,19819545,240895.8810233195,12182942.233633993,39263
-4920,20360700,20360700,246550.45190468265,13994570.812887004,39274
-4910,20875646,20875646,247382.371074606,15822145.843249997,39277
-4900,21384609,21384609,245868.25148771662,17636324.149440002,39282
-4890,21724226,21724226,235769.24090638335,19402194.071731009,38534
-4880,22232189,22232189,237731.8466786689,21169439.084857006,38547
-4870,22791238,22791238,240451.01611910795,22954405.782394998,38552
-4860,23382859,23382859,244301.17276075963,24759319.799804993,38552
-4850,24003551,24003551,246095.48256501066,26586149.902575992,38552
-4840,24615133,24615133,249247.14820749298,28433013.830549996,38555
-4830,25209146,25209146,249278.84502446844,30254179.842661977,38555
-4820,25863017,25863017,243209.1669756514,32026413.587984014,38576
-4810,26470010,26470010,245075.66970284781,33828879.785608016,38581
-4800,27070250,27070250,244064.09274119799,35658858.614901021,38585
-4790,27702733,27702733,253213.35041686878,37520963.000796989,38591
-4780,28298407,28298407,262370.1529478567,39452804.140367992,38596
-4770,28900844,28900844,276788.02313623042,41453970.384514973,38599
-4760,29485940,29485940,285640.55860572739,43527009.757613979,38604
-4750,29937439,29937439,291444.23659510934,45663532.267239019,38617
-4740,30333253,30333253,301787.14560438407,47866672.117852017,38514
-4730,30684752,30684752,303009.42892942153,50112207.479216009,38516
-4720,31202883,31202883,310104.48796829936,52372626.36949598,38516
-4710,31724363,31724363,305194.26881367993,54653881.455046006,38536
-4700,32168585,32168585,308812.26476263697,56908813.236168027,38545
-4690,32610875,32610875,300843.65792747581,59145324.325204037,38572
-4680,33015608,33015608,301121.72871980508,61376186.561272025,38596
-4670,33369856,33369856,300842.60901899624,63567933.885283008,38617
-4660,33962508,33962508,302700.00509382552,65758811.571895018,38650
-4650,34511722,34511722,295556.13525883388,67933103.773869962,38663
-4640,34972080,34972080,304453.25030325167,70099012.26573199,38678
-4630,35550433,35550433,302095.12896260578,72246258.932111993,38689
-4620,36206865,36206865,305798.20800196013,74407949.553800017,38702
-4610,36748542,36748542,311340.41390452703,76618300.275903985,38727
-4601,37286423,37286423,306517.62556085375,78590040.069608942,38743
