seed,ok,hit,returncode,elapsed_sec,reused,first_hit_year,country_index,country_name,tech_id,tech_name,run_dir,reason,canceled
1,True,False,0,0.001,True,,,,,,C:\WS\WorldSimulation10028\out\tech_seed_search\seed_1,no matching unlock <= target year,False
2,True,False,0,0.001,True,,,,,,C:\WS\WorldSimulation10028\out\tech_seed_search\seed_2,no matching unlock <= target year,False
3,True,False,0,0.001,True,,,,,,C:\WS\WorldSimulation10028\out\tech_seed_search\seed_3,no matching unlock <= target year,False
4,True,False,0,0.001,True,,,,,,C:\WS\WorldSimulation10028\out\tech_seed_search\seed_4,no matching unlock <= target year,False
5,True,False,0,0.001,True,,,,,,C:\WS\WorldSimulation10028\out\tech_seed_search\seed_5,no matching unlock <= target year,False
6,True,False,0,0.001,True,,,,,,C:\WS\WorldSimulation10028\out\tech_seed_search\seed_6,no matching unlock <= target year,False
7,True,False,0,0.001,True,,,,,,C:\WS\WorldSimulation10028\out\tech_seed_search\seed_7,no matching unlock <= target year,False
8,True,False,0,0.001,True,,,,,,C:\WS\WorldSimulation10028\out\tech_seed_search\seed_8,no matching unlock <= target year,False
9,True,False,0,0.001,True,,,,,,C:\WS\WorldSimulation10028\out\tech_seed_search\seed_9,no matching unlock <= target year,False
10,True,False,0,0.000,True,,,,,,C:\WS\WorldSimulation10028\out\tech_seed_search\seed_10,no matching unlock <= target year,False
